iter	Passed	Remaining
1019	3344	1573
1020	3347	1570
1021	3350	1567
1022	3353	1563
1023	3355	1559
1024	3358	1556
1025	3361	1552
1026	3364	1549
1027	3367	1545
1028	3370	1542
1029	3372	1539
1030	3376	1535
1031	3378	1532
1032	3381	1528
1033	3384	1525
1034	3387	1521
1035	3390	1518
1036	3393	1515
1037	3395	1511
1038	3398	1507
1039	3401	1504
1040	3403	1500
1041	3406	1497
1042	3408	1493
1043	3412	1490
1044	3414	1486
1045	3417	1483
1046	3420	1479
1047	3422	1476
1048	3425	1472
1049	3428	1469
1050	3431	1466
1051	3435	1462
1052	3437	1459
1053	3440	1456
1054	3443	1452
1055	3446	1449
1056	3449	1445
1057	3452	1442
1058	3455	1438
1059	3457	1435
1060	3460	1431
1061	3463	1428
1062	3466	1425
1063	3469	1421
1064	3472	1418
1065	3475	1415
1066	3478	1411
1067	3481	1408
1068	3484	1404
1069	3488	1401
1070	3491	1398
1071	3494	1395
1072	3496	1391
1073	3499	1388
1074	3502	1384
1075	3505	1381
1076	3507	1377
1077	3511	1374
1078	3513	1371
1079	3517	1367
1080	3520	1364
1081	3523	1361
1082	3526	1358
1083	3530	1354
1084	3533	1351
1085	3536	1348
1086	3539	1344
1087	3542	1341
1088	3545	1338
1089	3548	1334
1090	3551	1331
1091	3554	1328
1092	3557	1324
1093	3560	1321
1094	3563	1318
1095	3566	1314
1096	3569	1311
1097	3571	1307
1098	3574	1304
1099	3577	1300
1100	3580	1297
1101	3583	1294
1102	3585	1290
1103	3589	1287
1104	3591	1284
1105	3594	1280
1106	3598	1277
1107	3600	1273
1108	3603	1270
1109	3607	1267
1110	3610	1264
1111	3613	1260
1112	3617	1257
1113	3620	1254
1114	3623	1251
1115	3626	1247
1116	3628	1244
1117	3631	1240
1118	3634	1237
1119	3638	1234
1120	3640	1230
1121	3643	1227
1122	3646	1224
1123	3650	1221
1124	3652	1217
1125	3656	1214
1126	3659	1211
1127	3663	1208
